1,Lakers
2,Bulls
3,Bulls
4,Lakers
5,Bobcats
6,Tigers
7,Rockets
8,Rockets
9,Hornets
10,Bucks
11,Trailblazers
12,Pacers
13,Timberwolves
14,Celtics
15,Grizzlies
16,Cavaliers
17,Nuggets
18,Warriors
19,Clippers
20,Pacers
21,Raptors
22,Hornets
23,Magic
24,Lakers
25,Pacers
26,Bulls
27,Jazz
28,Bulls
29,Lakers
30,Grizzlies
31,Suns
32,Nets
33,Hawks
34,Bobcats
35,Pistons
36,Tigers
37,Magic
38,Tigers
39,Bullets
40,Rockets
41,Hornets
42,Bullets
43,Trailblazers
44,Spurs
45,Timberwolves
46,Celtics
47,Grizzlies
48,Cavaliers
49,Nuggets
50,Warriors
51,Clippers
52,Bobcats
53,Raptors
54,Mavericks
55,Warriors
56,Rockets
57,Pistons
58,Thunder
59,Jazz
60,Knicks
61,Hornets
62,Tigers
63,76ers
64,Nets
