pick_id,team_id,player_id,pick_time,pick_start,pick_expired
1,1,,,,
2,2,,,,
3,3,,,,
4,4,,,,
5,5,,,,
6,6,,,,
7,6,,,,
8,5,,,,
9,4,,,,
10,3,,,,
11,2,,,,
12,1,,,,
13,1,,,,
14,2,,,,
15,3,,,,
16,4,,,,
17,5,,,,
18,6,,,,
19,6,,,,
20,5,,,,
21,4,,,,
22,3,,,,
23,2,,,,
24,1,,,,
25,1,,,,
26,2,,,,
27,3,,,,
28,4,,,,
29,5,,,,
30,6,,,,
31,6,,,,
32,5,,,,
33,4,,,,
34,3,,,,
35,2,,,,
36,1,,,,
37,1,,,,
38,2,,,,
39,3,,,,
40,4,,,,
41,5,,,,
42,6,,,,
43,6,,,,
44,5,,,,
45,4,,,,
46,3,,,,
47,2,,,,
48,1,,,,
49,1,,,,
50,2,,,,
51,3,,,,
52,4,,,,
53,5,,,,
54,6,,,,
55,6,,,,
56,5,,,,
57,4,,,,
58,3,,,,
59,2,,,,
60,1,,,,
61,1,,,,
62,2,,,,
63,3,,,,
64,4,,,,
